"Company name","ASX code","GICS industry group","price","high","low","change","volume"
"BINGO INDUSTRIES LIMITED","BIN","Commercial & Professional Services","2.0900","2.1000","2.0700","-0.0199","26680"
"BIOMICS BIOPHARMA LIMITED","BBM","Class Pend",,"","","",""
"BIONOMICS LIMITED","BNO","Pharmaceuticals, Biotechnology & Life Sciences","0.4600","0.4600","0.4550","0.0000","120264"
"BIOTECH CAPITAL LIMITED","BTC","Diversified Financials","0.1800","0.1800","0.1800","-0.0095","2500"
"BIOTRON LIMITED","BIT","Pharmaceuticals, Biotechnology & Life Sciences","0.0180","0.0180","0.0160","0.0000","131383"
"BIOXYNE LIMITED","BXN","Pharmaceuticals, Biotechnology & Life Sciences","0.0210","0.0210","0.0210","0.0000","198080"
"BIRCH AND PRESTIGE INVESTMENT GROUP LIMITED","BOP","Retailing",,"","","",""
"BIRIMIAN LIMITED","BGS","Materials","0.3350","0.3350","0.3300","0.0000","148831"
"BIRRABONG CORPORATION LIMITED","BIR","Materials",,"","","",""
"BISALLOY STEEL GROUP LIMITED","BIS","Materials","0.6450","0.6450","0.6450","0.0050","2602"
"BISAN LIMITED","BSN","Diversified Financials","0.0050","0.0050","0.0050","0.0000","99986"
"BKI INVESTMENT COMPANY LIMITED","BKI","Diversified Financials","1.6750","1.6800","1.6750","0.0050","80606"
"BKM MANAGEMENT LIMITED","BKM","Commercial & Professional Services","0.0020","0.0020","0.0020","0.0020","741300"
"BLACK MOUNTAIN RESOURCES LIMITED","BMZ","Materials","0.0310","0.0310","0.0310","0.0000","100000"
"BLACK ROCK MINING LIMITED","BKT","Materials","0.0520","0.0520","0.0520","-0.0019","90731"
"BLACK STAR PETROLEUM LIMITED","BSP","Energy","0.0010","0.0010","0.0010","-0.0005","15000000"
"BLACKHAM RESOURCES LIMITED","BLK","Materials","0.2800","0.2800","0.2750","0.0000","200866"
"BLACKMORES LIMITED","BKL","Household & Personal Products","109.9800","110.1000","109.6700","-0.0220","8683"
"BLACKSTONE MINERALS LIMITED","BSX","Materials","0.2650","0.2650","0.2650","0.0159","12000"
"BLACKWALL LIMITED","BWF","Diversified Financials","0.9850","0.9850","0.9850","0.0000","3553"
"BLACKWALL PROPERTY TRUST","BWR","Real Estate","1.3200","1.3200","1.2800","-0.0293","13469"
"BLAZE INTERNATIONAL LIMITED","BLZ","Energy","0.0320","0.0320","0.0320","-0.0019","100000"
"BLIGH RESOURCES LIMITED","BGH","Materials","0.0370","0.0370","0.0370","0.0010","16210"
"BLINA MINERALS NL","BDI","Materials","0.0010","0.0010","0.0010","0.0000","5000000"
"BLUE ENERGY LIMITED","BUL","Energy","0.0830","0.0840","0.0830","0.0021","209226"
"BLUE SKY ALTERNATIVE INVESTMENTS LIMITED","BLA","Diversified Financials","10.6300","10.7900","10.6000","-0.0096","5882"
"BLUE SKY ALTERNATIVES ACCESS FUND LIMITED","BAF","Not Applic","1.2300","1.2300","1.2300","0.0101","16874"
"BLUECHIIP LIMITED","BCT","Technology Hardware & Equipment","0.0280","0.0280","0.0280","-0.0010","18000"
"BLUESCOPE STEEL LIMITED","BSL","Materials","10.9050","10.9500","10.9000","0.0196","828904"
"BLUGLASS LIMITED","BLG","Semiconductors & Semiconductor Equipment","0.2400","0.2400","0.2400","0.0000","622"
"BMG RESOURCES LIMITED","BMG","Materials","0.0110","0.0110","0.0110","0.0000","44197"
"BOADICEA RESOURCES LIMITED","BOA","Materials","0.1200","0.1200","0.1200","0.0052","266666"
